algorithm,eps,delta,num_coin,l1,l2
bc23,0.0009765625,1e-10,248711722,6291.557832619621,7885.298377360238
ours,0.0010150666240686945,5.4946275603106616e-11,269,1023.9976246037627,1024.2476545338827
bc23,0.001953125,1e-10,62177931,3145.778928958104,3942.6492045324044
ours,0.0019993263411528517,1.2366773328796358e-17,528,511.99967439394686,512.2498574073743
bc23,0.00390625,1e-10,15544483,1572.8894771273458,1971.3246181184873
ours,0.004081730560237418,2.473032352474752e-17,468,255.99934879164564,256.24971464145625
bc23,0.0078125,1e-10,3886121,786.4447638602596,985.6623407638135
ours,0.00798798063783579,4.946045837619339e-17,433,127.99869784470707,128.2494288266603
bc23,0.015625,1e-10,971531,393.22253370961863,492.8313606092859
ours,0.01631741498518391,9.886818104092919e-17,380,63.997395671221625,64.24885473545281
bc23,0.03125,1e-10,242883,196.6113680410897,246.4158071228386
ours,0.031942415287881776,1.9772429446295905e-16,348,31.99479214173374,32.24769850901344
bc23,0.0625,1e-10,60721,98.30588639284515,123.2081571974843
ours,0.06526424339598913,3.945332685046186e-16,304,15.98958790749222,16.24535229866007
bc23,0.125,1e-10,15181,49.15415741397734,61.605600394769304
ours,0.1277642441449185,7.882972170267522e-16,274,7.97920450204443,8.240529875805544
bc23,0.25,1e-10,3796,24.579506992143575,30.805843601498726
ours,0.25690265444647586,1.563928602428512e-15,213,3.9586348672100464,4.2303949327890615
bc23,0.5,1e-10,949,12.289753496071787,15.402921800749363
ours,0.5069026640155042,3.0802256348157536e-15,185,1.9190346270347145,2.2084417160129455
bc23,1.0,1e-10,238,6.154581744998688,7.713624310270756
ours,1.0069026891786528,5.811828035869712e-15,159,0.8509180935854794,1.1602295167685381
